ID_Serie;mase_0ive;mase_S0ive;mase_mase;mase_ETS;mase_NNetar
38;1.642559;1.331999199;1.89366385;1.866089264;2.406105579
39;0.900625944;0.538342227;0.534903101;0.712660385;0.749462354
40;1.291410945;0.969618901;1.179648716;1.005041694;0.945368474
41;1.818776761;0.962581089;0.371479571;0.474585934;0.993323861
42;1.045166538;2.462981072;1.112861564;1.055419713;1.463408955
43;1.457264957;1.433048433;1.731194991;1.76652618;1.391266573
44;1.638516033;1.234433259;1.492876454;1.575000243;2.7656884
45;3.989511636;2.755326123;4.942004269;3.926857703;6.547366595
46;0.926954733;1.731481481;0.959446242;0.954225589;1.177129339
47;4.857942387;1.568477366;5.240388363;4.733543165;1.258115414
48;4.698963516;1.114303483;1.742839044;1.404448909;5.034953234
49;0.780845027;1.393528104;0.603454379;0.69500965;1.159818746
50;1.582671573;0.939505455;0.510718911;0.675594928;0.845421863
51;1.239770723;1.427910053;0.851944333;0.475730347;0.771871477
52;1.599691648;1.469086443;0.983637176;0.793138815;1.773952366
53;8.706060606;8.585858586;6.451294495;7.325498511;10.92692396
54;1.780092593;3.108796296;2.085681327;1.806288244;1.205104399
55;1.318761791;1.215792871;0.773264199;0.821753819;1.653188082
56;1.275884914;1.238879425;0.884916832;0.858950649;1.030953529
57;1.022347772;0.993534212;0.817694165;0.780392186;0.908193464
58;2.711861379;1.375669882;2.929064381;1.167904147;2.141036693
59;3.149109415;1.387107718;1.958381403;1.073380802;2.044017232
60;1.602494856;0.571694959;0.926777595;0.843586905;0.96765003
61;0.888789683;1.167906746;1.085617035;1.317078955;1.216481069
62;0.732787698;0.867708333;0.752514958;0.749252583;0.781330156
63;0.864875865;0.800875051;0.841317262;0.87772742;0.91097553
64;0.799721121;1.065463085;0.83987549;0.721016792;1.091860752
65;0.92533428;0.949473435;0.893586107;0.861449175;0.851874373
66;0.70035515;0.763318113;0.691500791;0.706739543;0.702172711
67;0.886411188;0.798425284;0.895977333;0.891304318;0.871701113
68;0.861870067;0.842258652;0.87571091;0.827718731;0.795405363
69;0.715452261;1.415480179;0.820346596;0.714763662;0.852005137
70;0.933221613;1.157678245;0.950899908;0.866114071;1.052702695
71;1.23484149;1.26231148;1.015945346;1.307355272;2.802260138
72;0.731259633;0.761034048;0.827558356;0.823034491;0.86960562
73;0.918875729;2.152566272;0.754929203;0.757054389;1.221230511
74;0.695333618;0.929933134;0.571104966;0.57011787;0.610854194
75;1.281932902;0.999384426;0.766534396;0.762232976;0.827440644
76;1.104466593;0.990463886;1.030185245;0.949751773;1.062996049
77;1.217999126;1.175913791;0.883557488;0.877542368;0.993036673
78;0.926688551;0.816771113;0.726774748;0.779823675;0.830281179
79;0.758883994;0.704796867;0.789049321;0.755555556;0.736093438
80;1.999060768;0.886165117;0.728845792;0.741178966;0.770747668
81;0.947530864;1.125514403;0.856817832;0.87246987;1.167697983
82;1.578059072;1.516576251;0.971154628;0.94916804;1.336123352
83;0.953703704;0.87191358;0.953703704;0.953703704;1.642368627
84;1.059347181;0.886993076;0.633366304;0.636679313;0.630839046
85;0.708333333;0.638661202;0.596887552;0.59612347;1.731657521
86;1.034995007;1.011526072;1.056992383;0.898679492;0.936653936
87;0.927376171;0.506358768;0.746802417;0.432428894;0.616967073
88;0.993805652;0.605497484;0.735755068;0.475502675;0.559465317
89;1.58554363;2.614498251;1.533154416;1.116805392;1.99459805
90;1.44067155;0.896126974;1.359395801;1.548357879;1.62545882
91;1.402148315;1.256917076;0.790239752;1.030551433;0.777510587
92;7.582853047;11.3556129;0.982964603;1.221727856;3.891980158
93;4.859766413;6.171974971;6.212465353;6.039520877;8.440369293
94;7.254950281;12.27630783;1.291746747;2.94885041;6.18911909
95;3.120198313;0.970877622;0.671884483;1.846237053;0.807094011
96;4.147365251;6.03625414;1.046907692;2.253670283;4.185675955
97;1.817227392;1.247991728;0.873580172;0.91411202;0.982199921
98;9.202995169;14.62533816;5.301983975;2.797699657;7.642279262
99;1.819049425;2.035229427;1.773948369;3.885480551;1.843959773
100;5.632760156;6.071569653;1.893836522;3.023137274;5.778840007
101;5.991117513;16.98945705;5.063369752;4.601062448;3.470843452
102;1.929422985;0.807304085;3.023702459;2.830926435;1.484817159
103;7.368394309;8.888143631;7.470520975;10.04668186;6.248246914
104;9.514403292;11.00102881;20.54529441;10.10111528;10.8713906
105;2.846761453;7.094523433;1.383587327;1.430255115;2.002177099
106;3.210049938;6.473158552;1.196701904;1.300371841;1.401079235
107;9.439420804;21.8427896;3.439035077;2.530843856;2.898143469
108;8.668150346;21.371909;2.832157869;2.468918526;4.828439072
109;6.187739464;11.93582375;6.187739464;6.190721352;6.076446171
110;7.367315769;21.54371898;1.699422084;2.809039584;4.002394328
111;10.58429119;26.93295019;10.58429119;10.58512644;8.982159647
112;9.307692308;16.83333333;3.927830843;2.869669592;7.555309739
113;10.23698524;26.76146076;10.74501897;3.644137183;7.13702812
114;7.995762712;7.454417052;8.790096541;8.109758162;10.05727956
115;11.49074074;14.37654321;10.80979208;9.771487766;32.49489454
