ID_Serie;sMape_0ive;sMape_S0ive;sMape_Arima;sMape_ETS;sMape_NNetar
203;0.017900719;0.037709727;0.007646233;0.024409012;0.012333737
204;0.018314238;0.02475347;0.017169434;0.018409322;0.014685794
205;0.041372099;0.048040655;0.041372099;0.03705836;0.036638548
206;0.021164229;0.026788809;0.026355548;0.015360005;0.032673268
207;0.022401235;0.05292166;0.022401235;0.018565926;0.057589073
208;0.040010422;0.065253306;0.057410264;0.055779827;0.05070839
209;0.02155374;0.042060445;0.017991225;0.014668913;0.028692266
210;0.135314941;0.100495635;0.1353204;0.145296229;0.098965576
211;0.041273451;0.067344001;0.087518694;0.063207533;0.051851951
212;0;2.06181E-05;0.012623946;4.63154E-05;0.000117084
213;0;3.37826E-05;0;0;0.004241176
214;0.002697197;0.010172365;0.006386355;0.00709667;0.004447229
215;0.137602985;0.151066036;0.137602985;0.137603022;0.151542929
216;0.07203804;0.072517628;0.062877968;0.072040204;0.072406085
217;0.044280216;0.048009908;0.044280216;0.044280121;0.030112623
218;0.035477792;0.037979535;0.041229553;0.052003164;0.038005456
219;0.040667626;0.042916141;0.017801565;0.018466128;0.015242505
220;0.047847298;0.041966171;0.035634343;0.060859429;0.047253427
221;0.021478636;0.041098298;0.021478636;0.021477384;0.038747297
222;0.020121985;0.030394594;0.030115318;0.020121115;0.039716801
223;0.034279007;0.027976975;0.018265324;0.020757879;0.026879126
224;0.042733139;0.02375894;0.020422058;0.024233696;0.030373747
225;0.056180702;0.056407974;0.042964436;0.052591017;0.058574525
226;0.034473055;0.028319437;0.01837683;0.020664684;0.027526877
227;0.034321358;0.027934585;0.018308613;0.021338162;0.029424429
228;0.016441933;0.021155134;0.01204725;0.015652382;0.016985184
229;0.093758273;0.073225656;0.03504752;0.055625512;0.089424918
230;0.011588324;0.015342864;0.011670016;0.01260919;0.016979929
231;0.016489084;0.021200474;0.012312319;0.015980664;0.017097763
232;0.026019949;0.136075482;0.045765736;0.0319517;0.165973821
233;0.042139719;0.058807584;0.024533645;0.032010087;0.070050753
234;0.013954483;0.033147915;0.020703723;0.019214931;0.027935527
235;0.018471131;0.03937538;0.007927215;0.007927027;0.015490068
236;0.041724487;0.048039147;0.04034571;0.067401923;0.031748545
237;0.041627593;0.058249778;0.058083637;0.053728516;0.055255981
238;0.061804546;0.095057945;0.061804546;0.064133657;0.294729228
239;0.011735047;0.019388137;0.027332688;0.011734863;0.023927114
240;0.022728651;0.03544557;0.031086204;0.036006197;0.029382602
241;0.028034546;0.040170817;0.049828805;0.030332457;0.027100799
242;0.027066066;0.025001516;0.008901;0.009741306;0.022195879
243;0.02661277;0.024951189;0.012562052;0.011895042;0.024212866
244;0.017350245;0.021230339;0.01776024;0.017350253;0.026051732
245;0.014567989;0.024931511;0.013217814;0.014210869;0.025560159
246;0.053795614;0.086493169;0.053049272;0.053795853;0.082115372
247;0.013433522;0.039281949;0.04249051;0.013995688;0.019642022
248;0.362869194;0.550632717;0.585550351;0.436921166;0.564413052
249;0.084710727;0.079860389;0.086025302;0.087520394;0.060016032
250;0.046231325;0.043275459;0.044952834;0.046117583;0.047200512
251;0.352914881;0.542407886;0.466732418;0.435185482;0.484324839
252;0.252021812;0.412354731;0.288100768;0.292574248;0.436655491
253;0.244590753;0.401598056;0.293815041;0.253674573;0.288797427
254;0.074591489;0.134414592;0.070477906;0.07650057;0.154038772
255;0.248802438;0.387643672;0.152288055;0.248801286;0.3166617
256;0.025307406;0.045468411;0.028300599;0.027220768;0.137830394
257;0.115613297;0.244123569;0.278685512;0.115615322;0.284119251
258;0.022012886;0.027529655;0.048622374;0.04438935;0.025637749
259;0.036625832;0.034803051;0.053894238;0.036626403;0.059639936
260;0.02665778;0.033091574;0.025247534;0.025063145;0.038419765
261;0.074762932;0.048433543;0.074762932;0.074756241;0.053286065
262;0.057948959;0.046880536;0.07469302;0.069131905;0.042444212
263;0.129535921;0.132069129;0.176414085;0.117474483;0.147473919
264;0.167317587;0.119890891;0.049985476;0.079968902;0.103503868
265;0.022850212;0.031360688;0.024977263;0.024920536;0.029700832
266;0.030441128;0.047739901;0.027104167;0.027816064;0.053706409
267;0.470326134;0.145708606;0.179626289;0.207545458;0.083479828
268;0.057027125;0.048961672;0.091071167;0.074622801;0.373447695
269;0.216088046;0.193073387;0.183122606;0.078929745;0.113449758
270;0.350223244;0.187050976;0.073063288;0.186144875;0.093211614
271;0.23482852;0.321715251;0.537818673;0.236922395;0.21479814
272;0.480888197;0.406462111;0.391620758;0.567459281;0.406478802
273;0.199519922;0.129817234;0.158886113;0.12641232;0.18707684
274;0.043365156;0.056608991;0.039038442;0.017942506;0.055326356
275;0.113519673;0.083683971;0.075287234;0.06617226;0.070422729
276;0.115346695;0.063189531;0.042241296;0.050043119;0.064698978
277;0.357012396;0.418013337;0.338151506;0.412409884;0.391442111
278;0.802202283;0.284380314;0.160052558;0.136372863;0.308610409
279;0.157127149;0.061704533;0.057013783;0.066554671;0.052635089
280;0.198033921;0.319200887;0.230448222;0.251415805;0.305184584
281;0.123240432;0.266154292;0.239956807;0.128408713;0.310965055
282;0.118523081;0.255178688;0.102091764;0.152109542;0.239666531
283;0.973579873;1.204862479;0.993146526;0.968475031;0.429924037
284;0.350469851;0.087503509;0.127475229;0.088985581;0.189161389
285;0.414159271;0.407115379;0.420289669;0.401046585;0.47304565
286;0.261620364;0.54637995;0.260324306;0.204601038;0.538599868
287;0.212485518;0.222135811;0.181104322;0.103029198;0.20353989
288;0.078105068;0.096685985;0.039620866;0.059452511;0.079624805
289;0.171126527;0.119068353;0.147118886;0.179902493;0.170868352
290;0.185504936;0.189553517;0.190298151;0.192509853;0.129712816
291;0.086138462;0.18258677;0.046602882;0.056453018;0.112761993
292;0.288874598;0.093285806;0.242077376;0.096100517;0.121118538
293;0.271315521;0.267901396;0.254488618;0.151622431;0.140589846
294;0.180610345;0.130500636;0.145113606;0.121398622;0.194682901
295;0.960019616;1.190839548;0.95972361;0.97523128;0.471398002
296;0.983441937;1.068436056;0.774391609;0.746218031;0.968845692
297;1.055260934;1.215286043;1.079923289;1.058210378;0.346409754
298;0.793642675;0.551722346;0.857392059;0.850148558;0.577943829
299;0.213858024;0.379705975;0.25115102;0.189916976;0.184207556
300;0.292630785;0.082526878;0.094017485;0.084705749;0.182670883
301;0.526511609;0.477436607;0.48045762;0.452595823;0.488443449
