ID_Serie;rmse_0ive;rmse_S0ive;rmse_Arima;rmse_ETS;rmse_NNetar
44;210.1843107;165.9040888;198.3932507;203.1237436;324.7515084
45;166.6263285;121.0610498;204.0266866;164.241919;272.4514169
46;343.996124;682.7233049;366.6861672;359.5103934;466.9769085
47;1977.810237;841.5693013;2150.47051;1940.539263;591.5252057
48;381.4037668;108.0486002;153.6079948;127.8517059;417.9554657
49;80.30843321;142.9393811;71.5287439;75.80350781;132.5403596
50;199.8880242;118.4379819;67.40131745;86.59919185;109.6025533
51;104.2502331;127.8977456;80.1502415;43.60080753;67.45804098
52;223.7062806;238.4110596;150.4286496;117.2060583;245.6624016
53;298.3566099;295.5973237;226.7860123;252.017178;380.421115
54;514.4306454;923.8837108;583.7506036;522.4904921;359.8427398
55;200.4413187;225.1050372;130.6633716;134.3650279;246.5781879
56;505.1237472;582.1607262;373.3808039;362.3936673;467.1947628
57;624.9622211;617.4184607;588.0239682;509.0295424;667.640109
58;1188.075007;617.8637031;1262.535357;581.774508;980.1968505
59;1360.743261;626.8705342;977.7103824;554.4513113;972.7629505
60;962.6525853;430.0968883;562.207825;490.429201;633.6209713
61;737.2471318;1061.80402;863.587655;1040.763656;921.3966847
62;582.1464115;707.3934941;594.3663124;583.1577422;613.4006244
63;683.3821121;635.9856742;657.4045388;701.932432;703.148158
64;448.0265369;573.0037813;458.6658483;404.6135509;662.4442574
65;677.8479017;633.4210466;632.3359905;577.1179749;604.7630731
66;564.1906691;669.5313452;551.3687916;574.9953243;560.0357612
67;706.9299824;590.8703562;686.5410034;615.3959233;648.8326277
68;565.8278105;583.7331963;561.5509591;540.1362965;527.5073434
69;414.7221292;827.8318401;455.2062505;414.5283153;451.7109385
70;727.9690164;853.0370579;719.3721734;702.4221872;900.4566013
71;720.2622979;691.258916;553.2803018;652.9756287;1571.585228
72;452.6588119;434.1466726;502.8811186;448.702866;552.0745555
73;483.2241256;819.0475498;424.8464934;424.7653102;503.4717715
74;425.9303542;514.0525265;369.56299;369.1305616;366.155076
75;641.2487817;488.0118396;407.2810973;405.8255495;427.2359458
76;696.9935437;648.2497804;665.5517631;578.3803733;677.8552085
77;661.4966196;647.8425735;542.2130734;527.260557;541.5053961
78;866.3717447;626.4183905;739.9303976;603.1014119;693.960784
79;625.6285728;559.8561323;709.7437466;588.1467897;573.1345712
80;1516.300322;729.4899283;638.7883219;674.2604366;693.8792889
81;588.7510321;731.9836064;588.4415193;598.085081;823.341162
82;589.773968;596.3965869;398.7986762;389.3675263;535.0101762
83;398.9569735;370.0975847;401.7295441;401.8036595;706.6551525
84;502.9910536;434.4920406;319.3693608;316.0070232;321.5134738
85;361.0093874;351.9706427;320.044862;319.9164117;927.6009983
86;674.598605;556.7181195;580.50088;517.7378384;543.5778438
87;226.0530911;123.1530213;173.2684386;105.0488511;145.1643534
88;215.5870538;133.666251;150.951612;110.1376472;120.6869014
89;97.90919209;142.7650823;94.33169288;73.23668648;120.4686282
90;807.7906527;567.3049588;730.2522028;828.0556616;886.6392098
91;81.98751175;64.04779617;41.4263704;52.42695399;44.08905647
92;339.3991992;476.9739083;49.86552528;57.39060682;170.8531128
93;535.7399221;695.135794;679.0923521;657.2349393;940.5794914
94;129.4755919;200.8280968;22.46309894;53.84771449;118.7776003
95;924.0772274;266.4274969;190.2214898;508.2583893;249.580778
96;53.66990673;69.87225646;15.51982681;32.83926326;54.20343537
97;897.5476465;585.0380804;543.8167135;549.4975666;559.7624627
98;144.1735644;211.1038015;93.65974773;54.60530662;126.2341638
99;614.7114499;598.9238961;515.9802661;1061.239187;604.2944366
100;105.3224177;109.6630547;36.49314127;56.5005787;107.8150503
101;109.8165187;284.3785359;96.55005908;80.27709224;82.16431656
102;2282.768787;907.7169162;2564.389073;2413.535579;1713.856893
103;756.5742601;1022.583221;768.5056052;1040.90776;638.9516999
104;64.81769306;74.50055928;140.8799937;68.81736712;73.54318564
105;43.90773154;94.06055969;20.214348;19.82122236;32.05561663
106;41.50568903;71.25073099;16.42923571;17.77430896;19.51040447
107;128.33658;254.13273;47.83545312;31.21170209;43.15447436
108;209.3050671;441.8433609;70.61205581;55.44547532;115.3530054
109;251.2192491;443.9156577;251.2192491;251.3047478;256.9082534
110;161.5422201;393.2193338;46.89129227;60.39789675;85.41313244
111;110.9541948;241.9996556;110.9541948;110.9599914;88.68439452
112;153.0566344;242.7038662;59.52274212;44.14325643;117.6102447
113;106.3416925;238.1687077;101.4290462;33.40039225;69.47028313
114;685.5034241;645.5569946;759.1801851;694.1844224;856.0032372
115;13.26021619;16.02775371;13.51226696;11.25228245;37.41336624
116;13.27487183;30.17081003;13.52808187;11.58173741;13.37329736
117;375.1147972;248.394847;712.5899337;626.4073574;487.0066076
118;1461.726529;2316.729016;2093.58712;1880.281516;1906.456864
