ID_Serie;mae_0ive;mae_S0ive;mae_mae;mae_ETS;mae_NNetar
3512;24.27492111;33.93823778;33.56798865;35.21259636;34.45997614
3513;24.55321611;20.07501611;21.13926881;27.08803942;23.28104652
3514;895;590.5555556;318.9266617;666.5169654;453.3193191
3515;133.1935883;64.423355;83.47669351;53.63771078;31.99066715
3516;32.22692389;33.43311167;20.03259092;37.06444727;30.12842606
3517;63.89070778;137.2789989;57.6108391;49.47338345;76.50625926
3518;226.6666667;236.0555556;113.0384249;170.1643077;682.0583957
3519;70.44444444;234.0555556;243.1881846;209.7141785;85.26462603
3520;283.1666667;728.2777778;323.631627;439.2321373;310.920931
3521;17.94144611;70.13889389;28.04773626;19.91403257;27.18648111
3522;917.8888889;882.2777778;444.8578972;458.224682;1254.377092
3523;81.05555556;136.1111111;144.1379379;100.5114866;610.337672
3524;70.74146222;212.0890333;140.856352;133.868133;944.8560401
3525;485.5555556;615;491.6831552;490.4220879;1096.959975
3526;47.001645;163.2628772;56.96240061;49.13513729;62.73245845
3527;1173.333333;1507.222222;1581.230546;1277.206601;1852.234239
3528;1219.444444;986.1111111;555.8902297;911.8936864;854.3187789
3529;519.4444444;445;388.9663281;208.7357309;550.5964504
3530;303.3333333;201.6666667;206.9618605;233.0127146;214.6557208
3531;1989.444444;2335;1870.156117;1876.295076;2009.423111
3532;62.89165833;114.1182739;40.27735364;67.18662893;76.86050944
3533;59.63823111;51.10285667;53.0927219;71.30894918;44.94468487
3534;97.34023444;45.53748667;69.04268263;76.85971208;36.06142073
3535;3561.666667;4897.222222;3453.751991;3881.079852;4022.746782
3536;3810.555556;2287.777778;2194.344157;2849.346479;1438.325812
3537;179.0658333;174.1321667;150.5018228;132.2915261;514.3274731
3538;1304.380556;1443.777778;1118.096359;1274.200164;1640.808317
3539;9216.8;4331.55;4260.312218;4332.363671;5497.204976
3540;70.52846833;125.5217406;87.22847837;68.96609584;116.0674884
3541;94.759785;24.56557722;27.46637112;25.75437261;24.28041145
3542;927.7777778;811.1111111;894.8449325;642.4906529;958.3578938
3543;1577.777778;1877.777778;1306.023549;1489.785999;2620.455082
3544;368.3333333;262.7777778;199.6770478;203.7237363;296.6603934
3545;1000;1450;1336.423541;1206.285706;1133.380202
3546;544.4444444;361.1111111;454.0760741;511.1383032;704.218673
3547;3647.155556;4195.916667;3430.322132;3381.870419;3105.027232
3548;2143.382778;1792.948889;1641.639305;1842.784965;2224.834783
3549;1414.666667;1621.722222;1594.982617;1597.302215;1481.711512
3550;607.0611111;730.4555556;608.9583881;845.6463131;657.8207125
3551;398.2077778;349.9933333;293.3235859;398.9359577;404.3983612
3552;4261.138889;3056.988889;3021.805556;4098.822053;3102.153076
3553;317.2777778;305.1888889;211.6907671;216.2455709;330.3896373
3554;509.8888889;775.3888889;470.1574204;477.7192888;845.3050425
3555;1495.361111;1441.522222;1345.655314;1259.226058;1450.291846
3556;1172.816667;916.2777778;893.8844483;943.9862345;925.9652433
3557;4968.333333;5870;5514.102379;5524.7697;6393.887247
3558;725;666.6666667;689.3187282;671.6278613;872.2484876
3559;30.76410722;56.25626389;17.23698361;14.06085935;21.57475998
3560;292.8618756;560.3889256;85.17738266;132.2007459;169.046533
3561;682.4580794;597.9384961;715.9573291;650.2693268;697.8682552
3562;350.8651911;431.0690222;351.177879;334.8926542;395.1011975
3563;55.20732278;71.345715;14.16866059;13.81452203;38.78285718
3564;50.27786944;82.06271389;6.417003634;9.773181837;14.81758434
3565;39.811835;70.94756278;25.63736862;38.62666194;28.4028362
3566;338.8633222;292.9809311;373.2129582;195.930147;246.6793048
3567;192.6222278;239.71708;176.2845105;205.5147428;170.3075323
3568;471.9508222;342.65566;301.4467928;324.2200539;343.1906548
3569;26.24400667;25.33707889;12.98434651;11.87207214;29.58008042
3570;1303.876393;656.49161;605.0017903;694.7386663;780.5378963
3571;133.3058767;52.03968889;133.8067149;89.8537319;59.45055818
3572;146.43782;152.7847967;150.1737922;99.38224925;141.473809
3573;839.5973233;800.42564;875.6644999;925.3541612;455.1888378
3574;797.5933356;596.7006111;881.4517792;429.4511787;596.1316744
3575;442.0306511;683.1678744;355.6019384;448.7066784;572.0655384
3576;435.7338561;248.1630228;353.1911673;279.521164;286.2712563
3577;480.8469794;551.6737628;478.4540125;423.4437448;936.5023847
3578;505.7185428;658.0838406;402.8999278;529.8688341;582.3168058
3579;59.81639944;117.802145;78.77468294;53.75905281;68.41428965
3580;391.02746;188.9539033;186.6118107;147.4768409;231.71024
3581;304.0308161;130.0729972;110.2909862;98.43815876;127.7066355
3582;430.8849133;284.6124122;300.8892508;234.1808333;166.2104544
3583;1030;1101.111111;1047.697469;1343.955345;1092.82021
3584;135.5555556;149.4444444;98.20026951;91.38545678;266.1704558
3585;1123.888889;459.4444444;551.9511029;578.5366913;770.4598723
3586;1865.555556;1383.888889;1123.640917;779.2964897;1195.629218
3587;733.8888889;613.3333333;749.5873747;983.9143032;651.2102611
3588;2733.333333;2338.888889;1083.773959;813.6439338;1692.422066
3589;193.8888889;352.2222222;177.491761;269.5267687;288.2885955
3590;3694.444444;4222.222222;4292.006002;5392.010138;3833.119346
3591;1505.555556;3538.888889;964.1666072;1075.631273;8957.018533
3592;816.1111111;344.4444444;337.6580244;295.6014512;336.7711666
3593;297.2222222;360.5555556;167.6579204;185.3244103;209.8288959
3594;1872.222222;2638.888889;782.309408;856.5989326;1017.804399
3595;3454.594444;3495.132222;3182.735313;3320.526808;3076.883985
3596;3346.977778;3190.294444;3300.83991;3575.628859;4573.587189
3597;544.1388889;581.5705556;569.3667666;436.7038615;520.1575639
3598;1654.127778;495.7611111;560.4159734;565.9554409;537.5986084
3599;2612.385;2754.037778;2578.652627;2628.555488;2293.55734
3600;2966.427778;4597.738889;4048.994044;3787.209697;3972.269827
3601;2091.327778;2989.438889;1857.64783;1806.158615;2215.836843
3602;3663.399444;5331.847222;4592.0275;3842.857377;4918.383642
3603;1426.737778;1075.158889;1193.953161;1061.002445;1142.03855
3604;1137.388889;888.2722222;990.2069171;835.2413241;898.7460117
3605;1106.305556;1126.227778;982.0362198;1140.800405;1031.239631
3606;351.6666667;240.3111111;315.164677;296.4016941;243.1575386
3607;1938.388889;2369.927778;1758.628744;1841.655339;2939.760268
3608;964.0555556;1648.333333;981.1509971;903.8098744;1184.00305
3609;715.6055556;496.8666667;463.7266431;553.642604;1520.923854
3610;890.6333333;851.3166667;571.7105222;572.6627532;1092.155479
3611;2785.622222;5185.866667;5512.069902;4633.581953;6704.614217
3612;419.5917222;918.3033889;402.0547406;337.3454933;199.4275387
3613;741.8333333;722.3333333;787.1016574;671.9561864;1098.275337
3614;871.8333333;406.3888889;248.8091879;298.9910653;375.4696056
3615;185.1666667;161.7222222;154.3792619;199.1442815;189.8150603
3616;1071.5;813.2777778;810.8892736;794.3534898;755.7340347
3617;395.0666667;487.0233333;284.7095966;242.2915657;449.6961665
3618;115.3172222;383.0311111;121.9677896;197.4821632;337.8338136
3619;1605.55;2701.9;1098.654509;2735.489799;2822.362707
3620;106.3333333;96.83333333;94.49440732;95.71230848;147.5020146
3621;2183.5;2499.277778;2215.865075;2403.064308;2158.709079
3622;2111.444444;1974.888889;1078.391872;1576.543485;1901.110307
3623;116.47199;117.9467178;113.1930097;116.6441033;242.8797145
3624;189.2326917;224.2675806;107.7144854;108.8214484;154.0322947
